Comment,Replies
"Lyrics:<br><b>********</b><br>There are no words<br>To paint a picture of you girl<br>Your eyes, those curves<br>It&#39;s like you&#39;re from some other world<br>You walk my way<br>Oh God it&#39;s so frustrating<br><br>So why do I disappear when you come near<br>It makes me feel so small<br>Why do I blow my lines<br>Most every time<br>Like I&#39;ve got no chance at all<br><br>If I could be your superman<br>I&#39;d fly you to the stars and back again<br>Cause everytime you touch my hand<br>You&#39;d feel my powers running through your veins<br>But I can only write this song<br>And tell you that I&#39;m not that strong<br>Cause I&#39;m no superman<br>I hope you like me as I am<br><br>No, it ain&#39;t no lie<br>I have to tell you how I feel<br>But each time that I try<br>It gets a little more unreal<br>You say my name<br>Oh God I can&#39;t stop shaking<br><br>So why do I disappear when you come near<br>It makes me feel so small<br>If I could read your mind<br>Girl would I find any trace of me at all<br><br>If I could be your superman<br>I&#39;d fly you to the stars and back again<br>Cause everytime you touch my hand<br>You&#39;d feel my powers running through your veins<br>But I can only write this song<br>And tell you that I&#39;m not that strong<br>Cause I&#39;m no superman<br>I hope you like me as I am<br><br>If I could be your superman<br>I&#39;d fly you to the stars and back again<br>Cause everytime you touch my hand<br>You&#39;d feel my powers running through your veins<br>But I can only write this song<br>And tell you that I&#39;m not that strong<br>Cause I&#39;m no superman<br>I hope you like me as I am",
i heard this song in 2020 through 1 video on twitter :3 many tks it&#39;s so good!,
ขอเสียงคนไทยหน่อยครับบ  I&#39;m not superman .,
I think my ears will have diabetes because your voice are so SWEET💖😍,
Bring back memories.,
YouTube always recommend something good 10 years after.,
Im Korean but this is like the BEST FUKING song ever the lyrics guitar melody are all beautifully perfect holy shit,
Bro I still remember the lyrics,
"10 years later, if you’re watching this you’re old now.",
Whut a wonderful song💟,
ฟังกี่ปีก็เพราะ,
The nostalgia,
Ah.. Nostalgia Good days back then,
Oh shit! Just stumble this while browsing youtube. 2023 and I still know the lyrics word by word.,
"This was in my recommended, had never heard it before. Glad I have now :D",
"I remember i used to listen to this on loop but stopped and almost forget about it today when YouTube recommend it, when I first saw the thumbnail I was like omg",
"Why did I have to remember the name to this song. This song breaks my heart all over again. This was mine and my first loves song, I wish I could go back to this time and have been a better person! I miss her more than I ever thought would be possible. I still think about her most days and it’s been 10 years. I miss you Emily😞",
I miss you joe brooks!!!,
From Texas and watching 12 Dates of Christmas and got curious. It’s a great song…well done and good luck in the dating world!,
December 2020 YT recommended this and I loved it!,
If you&#39;re still listening this hit the thumbs up💟🔥,
Ahhh miss this songgg🤗🤗🤗,
Nostalgia🖤,
wow 10 years and i still i haven&#39;t confessed my feelings to my crush i wished i took that risk confessing my feelings to her.,
"That one girl who teach me this song, now she&#39;s on another man. Still remember her on this song 😊",
I recently started to listen this song in Spotify so i thought to watch the video too- <br>And when i serched the song-<br>I saw its 11 years old-<br>I was like-<br>Wth i thought it&#39;s a new song😭🥲,
never heard of this guy... it&#39;s on my recommendation... and i&#39;m thankful for that...,"Me too
Same
Allain Esquivel i got it from an amazingly talented singer on youtube named gore gore gibson and he didnt show the name but i had to know the song so i did research and it was so worth it💜💜💜💜💜💜"
I&#39;VE BEEN SEARCHING THIS SONG FOR YEARS,
nostalgic feels,
My Favorite song,
I miss this song so much ;(,
Over here racking my brain like how did I not hear this till now,
The last time I listened to this was 6 years ago. Damn,
i really loveeee thiss song! ( &gt; v&lt; ),
12/5/17 and still the reason for my eargasm,
omg I had the biggest crush on him when i was 13 🤣❤️❤️,
Why have I not heard this song before?!?!,
"Man, good times.",
I&#39;ve heard that song because I knew hero means no superman 💘💘💘💘,
Fucking finally 😂 i was playing my guitar and i cant remember the tittle and lyrics of this song. Got em!,
Back in 2012 I started to hear this song and I never forget hissong,me too
good song,
This man is unfairly gorgeous,
After ten years and youtube says recommend something golden,
Those glasses fit him soo well like gawd he&#39;s so cute:D,
MySpace popped into my head. This was on my playlist ❤,
"He estado PENSANDO en esta canción, sin la necesidad de buscarla y pum! Aparece. 🤯🤯🤯","@Luigi exist te lo juro!!!
No mames 😂😂😂"
I was 10 years old when this song came out,
Fav song of my Someone Special 😊,
¿Porque YT me recomienda a Joe bb después de 10 años?,
10 years later... Covid&#39;s strange... for reals,
didnt realize this was a song from 2010. this is the 1st time i&#39;m hearing this song,Wow thats sad and your that old
ill always love you and this song ever since,
Nostalgic,
True love can never give up.,
2023 still love this,
would this song be good to learn to play on my guitar and sing it to my crush?,"Yes it would. I&#39;m definitely going to have to do that someday.
yes
probably"
This song is so cool!<br><br>And who is still waiting for Man of Steel 2?,
I saw this again and it&#39;s already 2018. ❤❤,
🤘🏻🎸,
If I hadn&#39;t watched first dates hotel I would&#39;ve forgot this banger,
Good times.,
Actually he reminds me remarkably of Clark Kent in Superman Earth One.,
Just beatiful,
"i just remembered my crush told me that this is her fav. song :,)",
Renejay this song 💗😍,
why these song is underrated? 🥺,
Last song we enjoyed before we go separate way,
This is such a cute song. c:,It is
하 역시 넘 조아,
"He answered them: &quot;This is the work of God, so that you may believe in Him whom He has sent.&quot; ♡",
"Nostalgic, ughh highschool days",
wow its been so long i listen to this song,
👍...😎✈️Good✔️ 😍🔥❤️❤️❤️,
WHY HAVE I NEVER HEARD THIS,"True ^^
lolololol loser
Same here, it autoplays when i was listening to we the king-secret valentine.
me too .. :d
hello everyone, please check out my channel i made inspirational vlog!  thanks
Pandora brought me here!! I&#39;m a fan now!
same here x
Right? I was about to say that. This is legit my generation kind of music lol. Would have been a perfect song for my high school early collage days lol
because were usless people who need to jump off cliffs.🙃
stupid hed
Same
😫😫
SAMEEEE
because we were stupid :/"
"I totally forgot this song existed, holy shit",
"Hell I&#39;m from the future,this song is really great 👌.",
Omg i was in love with him,
Thank you wattpad for recommending me this beautiful art.,
"Im here because i miss this song while playing guitar :* <a href=""http://www.youtube.com/results?search_query=%23covid2020"">#covid2020</a>:(",
"never seen this before and i&#39;m a straight dude, but that look and smile at <a href=""https://www.youtube.com/watch?v=otx0Bnru0dY&amp;t=0m11s"">0:11</a>, what an adorable man hahaha",
이노래 들었을때가 초딩땐데 벌써 성인이네;;,
Fuck this was my shit when I was 12. I was trying to sleep last night and suddenly remembered Green Eyes. So I had to come back and revisit all your songs 😭,
"I really miss this era(kind of music) grade school days.. like a rocket to the moon, many more.. hehehe i miss this!!",
"I&#39;ve forgotten about this songs and it just randomly popped up on my recommendations? woaw, brings back lots of memories hehe",
10 years later and this video come up to my &quot;Home&quot; 🤯,
I remember when every directioner was freaking out cause this guy looked like Louis,
"The man beside me while listening to this music, left 3 years ago. <br>I miss you :)",
Still listening. 💖,
Well... ..this came up suddenly unexpected.,
"I like his body shape here; he&#39;s not ideal but also not skinny either, he&#39;s just slim and it looks nice. Think I&#39;m gonna have to hit the gym. Cheers everyone, it&#39;s been years I haven&#39;t heard Joe Brooks lol, this brings back memories.",
My ex sang this for me 9 years ago...,
Now he’s on first dates hotel how times have changed 😂,
loving this song coz of you 😭,
Omg this song is so nostalgic.... that time I didn’t even know how to speak eng....,
comfort song since 2016,
first time watching the MV....in 10 years.,
WHOS STILL HERE 2020? FIRST SONG I&#39;VE MEMORIZED AND LISTEN.♥,
Fuck i wish i could sing like this guy so I could sing this anytime i want,
I&#39;m 10 when I first listen to it now I&#39;m 20😊,
"This kinda confuses me. Joe looks more power-pop, yet this is more of an acoustically driven love song. A quite likable one, at that.",
"its 2022, March 9 at 12:58 am. Still listening to this song.",
where did Joe go? the world could really do with superman rn,
"2021 ang still listening to this hahahahah I remember wayback 2013, my crush sang this for me coz he already knows I have a crush on him hahahahha",
WHY THE HELL IS YT RECOMMENDING ME THIS AFTER TEN YEARS?!,"@minigaterV4L  me neither, but I really liked it
@Louis Ivanovic  The algorithms hehe
@Jose yeah, I thought about it, but I got surprised about how old it is
Because one group of people started to watch the video this year I dont know how,  then YouTube recommended it
Yes, but look that many too it will be coincidence ? sure... I don&#39;t know
OMG samee  thought :&#39;(( but I really forgot about this song and now it makes me nostalgic :(
i didnt even heard the song till now"
"good old days, those days of puppy love:)",
omg i already forgot about this song,
"This was the first song I sang to a Girl on my 7th grade, that was 2014",
"You don&#39;t need to be Superman, I love you the way you are. <br><br>To my future man 😅",
I guess this is getting recommended cause we need a Superman right now,
IM IN LOVEEEEE,
oh my God! i used to listen to yearrrrsss ago! how did Youtube recommend it to me today?!?!!?,
My 10th grade crush used to ask me to sing this to her. <br><br>We didn&#39;t work out in the end tho sad,
10 years later YT is like yea this girl needs this let&#39;s recommend!,
Holy shit nostalgic,
"For a long time I have last song syndrome with this one, now I heard this song  again because of youtube recommendation.",
"@JoeBrooksVEVO come on now, we want more songs from you",
"dude I finally found this video. I’ve been trying to look for this video but the problem was that I didn’t remember what his name was😂 I was like “was it James? sounds like a James? Probably a jay?” Then suddenly while scrolling down, I found him and it’s joe😭💀",
nostalgic for me :),
I can&#39;t believe this song it&#39;s 11 years old,
"I have such a soft spot for this song, Idk it&#39;s just cute.",
I remember this song year 2009,
"Luke Hemmings would dedicate this song to his perfect girl, I screamed when he said this","IVE BEEN A 5SOSFAM FOR THREE YEARS WHY DO I NOT KNOW ABOUT THIS
Ohhh my goshhh too much feels!!!!!
+Evella1802 geeez! really?! RIP HEART!
me too
Paygetrancy Good that you found it;-) I felt so bad when I couldn&#39;t give a link to it. 
YOU ARE AWESOME
Mīss Høød 卌 YOU&#39;RE WELCOMEEE
Paygetrancy THANK YOU
Mīss Høød 卌 <a href=""https://www.youtube.com/watch?v=E0vZzWWlRc0"">https://www.youtube.com/watch?v=E0vZzWWlRc0</a>
It&#39;s this :D I came here because of it too lol
It&#39;s okay 
Mīss Høød 卌 I tried to find the interview but I couldn&#39;t remember which one it was :( I&#39;m sorry! 
Laura Hamdi which interview?
That interview also led me here!:DDD But honestly, the chorus of this song was quite sweet:)
I&#39;M SCREAMING TOOO
Katy E on an interview :)
WHEN DID HE SaY SUCH A THING
ugh ♥ luke and calum tho"
Omg! Jus found this throwback again! 2018!!!,
"I miss the old computer days, way back 2012 🥺",
I love you joe.,
Way back 2016 kinikilig pa ako kantahin to kasi kami pa but now ang nakakamiss na kasi ex ko na siya. Hahaha na alala ko lang ulit cuz of renejay😂💯,
I listened this song 10 years ago,
Why is this not more famous why am i not married to him. So many questions,"lel
Because he didn&#39;t see your cmt maybe
wow!! congratulations!
I ask that questions to myself everyday 😂
Valentina Fangirling omg
Dewathu *mentally
because you&#39;re mentally 13 years old
hahaha, love this jokes
do you marry me
he&#39;s gay
lmaooo
Valentina Fangirling 😂😂😂😂😂😂😂😂
u can choose though haha
Valentina Fangirling Same gurl😍
just for shit
i think the same....
this is either a troll or u are just bitter af lmao
U CAN MARRY ME
Hahaha :)"
"Joe, I loved your glasses 🤓❤",
Shit we have I been.<br>This song so good,
Yeah okay it’s 2020 and I still haven’t found my own superman,
omgggggg I remember listening to this song when I was 12 while I wrote 1D fanfics in my room LMAOOO,
"I mean I used to listen this 10 years ago, and it just reappear back in my recommendation 😂",
"I see Shawn Mendes and the success he&#39;s making and this got me thinking why it didn&#39;t happened to Joe, their kind of music is similar and he&#39;s as good as Shawn","Not everyone is lucky
matter of luck and opportunity
Maybe because of the manager connections? Shawn got a better one
Senyora Santibañez i don&#39;t wannabe rude, in fact i love joe&#39;s music too❣️, it&#39;s just the fact in the industry that you gotta be more attractive to caught world attentions. Just like Diamond.
Senyora Santibañez not actually it&#39;s just quite help, ask ur self why diamond is famous.
He&#39;s not that handsome as shawn babe.🤭
different music styles this style is a little more oldschool i guess
Eduarda Mello just ain’t good enough looking
@shehap agha That&#39;s 7 Words.
That&#39;s how music works, it doesn&#39;t have a formula at all, a lot of things could determine whether you become successful or not, luck is one of them.
yeah he did get the huge hits but that was back when he was in his 20s, more or less
Maybe his height...
This is better
I see idubzz
Eduarda Mello and better
One word ... A someone with record company and Money 🙌
Shawn was from the old magcon and vine. they were viral back then
and also the soul of the song.
Excuse me. He also got the looks. Lol"
😍😍😍,
😍😍😍,2023
How has this only got 28m views?,
"And He said to him, &quot;&#39;You shall love the Lord your God with all your heart, and with all your soul, and with all your mind.’ This is the great and foremost commandment. The second is like it, ‘You shall love your neighbor as yourself.&#39;&quot; Matthew <a href=""https://www.youtube.com/watch?v=otx0Bnru0dY&amp;t=22m37s"">22:37</a>-39",
i miss him:),
Either youtube&#39;s recommendation algorithm stuff has gone bat shit crazy or just completely on point.,
"True OGs watched him and Mathew Lush together on Stickam back during myspace days! <a href=""http://www.youtube.com/results?search_query=%232006"">#2006</a>",
"If you can&#39;t be Superman, then you can be Superboy... After all, I think Superboy is waaaay cooler than Superman any days. You already look like a hero to me. <a href=""https://www.youtube.com/watch?v=otx0Bnru0dY&amp;t=2m58s"">2:58</a> 😉😊<br><br>Please save me, when the time comes. 😉",
"Tagal ko na pinapakinggan to hehe, ngayon lang napansin ulit",
I remember meeting him on stickam back in the days of myspace. Thanks to Matthew Lush &lt;3,
"Okay youtube recommendations, this is actually great.",
"Okay, first of all, his voice. Just. Wow. But um, can anyone tell me who that girl is? Cause she is maddddd gorgeous and I think I&#39;m in love. :3","Yaaaaaaaa I want to know tooooo!
YAAA COOPER U R RYT CAN I AV D VIDEO FRM U"
10年前！？2020年の私におすすめされた素敵な曲！びっくり😆✨,
"Damn, I miss 2011 Louis",
damn  10 years already,
중학생때 듣던노래인데 어느새 25살이 되가네....ㅋ,
❤❤❤,
Am I the only one who think he looks cuter with glasses?,"Jackie Meier He&#39;s HOTTER
+James Joseph  Parmis yeyy haha ^-^  ♡
yeh right he looks cuter with glasses"
"HAHA tumblr days to ! 1st year highschool ako neto and uso pa nun yung hipsters , this song is very nostalgic haha that it brings me back to my first crush, first cutting classes ko, first kiss ko ! omg like ito yung kanta na laging pinang haharana skl.","@Dave Evadilo yung feeling na bumabalik ang memories pag narinig mo ito. Nostalgic talaga
@Mark Magdadaro  same same bg music ko rin to hahhaha yung generation talaga natin ang dabest ☺️
Dave Evadilo uu nga ito din BG Music ko huhu, nakaka miss Tumblr days"
i listened to this song when i was still in elementary when i had my first crush and  10 years later youtube recommended this and brought back old memories.  btw pinoy ako hahahaha,
this used to be me and my bestfriend favorite song now she&#39;s on another country and can&#39;t see her :&lt;,
why this song is so accurate??? <br>can anyone please suggest me song like this one?,
Damn in can still memorise it? 😂,
I&#39;m not here because it was in my recommended<br>I&#39;m here because I thought this was Five for Fighting&#39;s Superman<br><br><br><br><br><br>EDIT: I didn&#39;t know who Joe Brooks was so I thought this was a cover,
I still love you Joe,
fuck this is so nostalgic,
"I was thinking about this music video a couple days ago, and youtube just recommended it to me lol",
"Nice song, Let&#39;s all thank youtube&#39;s algorithm this time ^__^",
10 years already???? Wow im old,
Totally Nicholas Hoult&#39;s long lost younger brother &lt;3,Bella DeMinico yessss
2015 &lt;3 pequeño niño...,
I miss this uwu,
fave!❤,
"brings so much memories, hello march 2019",
💜💜💜💜💙💙💙💙,
Llegue a aqui por &quot;The stripper 😍🔥<br>Ahora amo la cancion😍,"Rt
Jennifer Cuadro RT
Jennifer Cuadro. Ya somos dos 😀😛
Rt"
"I remember when my crush in grade 6 sent me this. And texted that it was for me.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>I was crushing on him for 2 years,<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>but he moved.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>Now he has a girlfriend.<br>I am happy for him.",
This is the first time I prefer the original to the nightcore,
Anyone still listening to this in 2020?,
JUST COME BACK ALREADY JOE  I WON’T EVER FORGIVE YOU FOR NOT MAKING ANY MV FOR I AM BONES <br><br>ALL OF YOUR COLOURS WAS HIT MATERIAL PLS 😭😭😭,
Youtube recommended me this... Thanks god! I already forgot this song,
who is still watching this in 2017 ? time flies fam,"2018
Me
i feel old
JD Gaming - Jordon1551 And happy new year!! hahaha
Not quite there yet mate, merry christmas"
i sang this song to my ex before we got broke up i sadly because i remember where we could be happy everyday and now she got a new bf and in fact she&#39;s pregnant,
I’m here again because of doggie and renejay. My fav song when I was on 6th grade,
kakauwi ko lang galing sa birthday party ng pinsan ko then hinatid nila kami at shems ngayon ko na lang ulit to napakinggan. btw happy birthday ate angel &lt;33,
"recommended after ten years, gotta love the youtube algorithm sometimes",
October 26 2021 listening to this song ❤️,
"<a href=""https://www.youtube.com/watch?v=otx0Bnru0dY&amp;t=1m09s"">1:09</a> Wow. He looks exactly like Louis Tomlinson during that few seconds.",
Just remembered this existed,
There  something  so  nostalgic  about  this  song  maybe  its  cauz  i  heard  it  after  so  many  years  who   Knows,
DEYM. STILL HAVING EARGASM AFTER 10 YEARS LISTENING TO THIS SONG. :D hahaha,
"realistic, people live in places like this. Without daddy&#39;s money. He&#39;s totally not a financial superman right?<br><br><br>Hows his heart doing these days? I wonder.",
I&#39;m here because I searched for this song.,
I&#39;m here after watching First Dates Hotel ❤ Love this sm!,
This song has always been a favorite. I’ve just recently came back thought because of “The stripper” Camren fanfic. Anyone else?,
This song is cuteeeee,
"September 26, 2020....10:35PM MNL....You can make it...you are strong....",
"I dedicate this song to EMMA &lt;3, the girl that I&#39;m in LOVE &lt;3",정지우 just EMMAGINATION
♥️❤️,
"If I were a superman, I would fly you to the star and come back alone. ;) ",Cool mate. :)
"Thanks to Renejay and for Dogie&#39;s Vlog because of them, I discovered this song.🙌",
missing kj and oa so much🥺☹️❤️,
Superman🥰,
I miss the old Felix Kjellberg 🥺😭❤️,
Crush na crush ko to since 2012 eh HAHAHAHA,
Now you’ll never know how I got so many likes.,"I&#39;ve already watch this before when it was 2014
Hahaha same!
hahaa"
I really like the nightcore version of this song ! XD,
hi jana 😁 hope you’re doing well if you ever come back to this song 💜,
oh myyyy I HAVE MISSED THISSSS,
god I miss my larry shipper phase,
"Good song, long road 12 years ago wow",
And then Charlie Puth &#39; Superman got nothing on me &#39;,
"i don&#39;t get it. There&#39;s thousands of artists and songs SOOO much better that don&#39;t get a tiny percent of attention. 26 millions views, for... this? Geez just about every video that has less views in the recommended section to the right ---&gt; is a thousands times better than this song.",
กลับมาฟังกี่ปีผ่านไปก็เพราะเหมือนเดิม,
Tbh I don&#39;t know this song but I immediately clicked when I knew the song was years old,
"You&#39;re quite charming I&#39;d say, it&#39;s just that she probably prefers spiderman and his spidey like antics.",
"Omg. Thanks for making me feel 14 again, YouTube Recommendations!",
Who&#39;s here during quarantine? ME!!!,"@ThroughDaStorm ay bwe?
@Alestaire David gago ka den bwahhahahha
@Alestaire David ang rude mo naman
Eto yung kinanta ni renejay kay samantha
Ako
Walang may paki gago"
소름돋네 유튜브 내가 초딩땐가 중딩때 들었던걸 어케 추천해주는거냐,
❤❤,
"“So why do I disappear when you come near,<br>It makes me feel so small”<br><br> -shy people problems 😭",
August 2023 and this song pops up in ny recomms ❤️,
Going Through A Bad Breakup been with her form age12-25 used to sing this for her almost every nite,
HOW DID THEY GET LOUIS TOMLINSON TO SING THIS😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱,
❤️,
Am I really that old? Lmao. I can&#39;t believe it has been 10 years like are u kidding me?,
"&quot;I&#39;m no superman&quot;, where have I heard that from...",
Time fly so fast,
i wish i had a superman :),
i wanna see him and shawn mendes collab,That would be great
Joe Brooks is that tumblr boy we always wanted to be with,
"dang, it&#39;s been 10 years<br>use this song to flirt with highschool crush",
I’m here after seen him on first dates hotel,"@gojenson me too!!
@B Mc thank you
@s3mi x ehh not sure it just popped on one night as a reply  <br>I didn’t know who he was till I googled him my bad lol<br> I think it’s first dates channel 4 2018 put his name in with it on YouTube if that’s of any help 👍
what episode is it?
@gojenson hadn’t a clue who he was I bet she  googled him so fast 😆
Haha. I&#39;m watching the episode now<br> Lol."
2020!!! OMG i found this again! I back to mi high school,
I can feel a Jason Mraz vibe on this one.,
Who&#39;s here because of Youtube recommended?,"Me
Meeeee
my brother introduce me to this masterpiece
Me to haha
been here since 2010
try to listen to got7&#39;s breath! you&#39;ll like it
Even I finished this watching for fourth times still in recommendation 😂 but yeah still cute :)
12/12 somehow I was recommended to a great song haha
me
I&#39;ll say ~not~ me
Me.. I’ve never heard of this song or him
yep :)
Been here 10 years ago ... time flies
👍
Meee and I didn&#39;t regret to play it :)
yo
Me
Me
I JUST reload my page then this pop up. I actually came here just to answer to comment like this, but the song is actually very good!!
me hahahaha
🖐
Me
Me
🖑🖑🖑
me
Me
Same here...not my song genre though
HIII
me
@Michael Flanagin yea same
Lol yeah
Me!!! I haven&#39;t listened to this song in 8 years; I used to listen to this song non-stop.
🙋‍♂️
Never heard of it but its on my recommendation
meee
hi
Yeeah suddenly I&#39;ve had this recommended for the last week or so. The song is alright... Not great.
I have no idea how this got on my recommendation list
.
im here cause i like the song"
Damn this is already 10 years ago??,
Its been 10 years how fast  time fly,
"I&#39;m No victoria&#39;s secret angel, i hope you like me as i am.",
"oh, no, im just a musical talented, good looking, adorably shy, well dressed, wimsical pretty boy... but no superman. oh, how will anyone like me. lol.",
When people use the big burner to cook noodles... You&#39;re gonna burn your house down.,
can we just say DAMN,"DAMN
Damn
Damn"
You will never know why this comment has so many likes.,"I will never care why this comment has so many likes.
@Abdul Mujib Abdullah mmm😊😊m
👏 👏 👏
I know. 😢
I already do know why it got over 2k likes - because the average YouTube viewer has no more powers of judgment than a fly on manure.
cuz you said he looks like louis Tomlinson 😁😁😁
@Abdul Mujib Abdullah lolo
I don’t wanna know.... :)
Lol eww.
@carrie healy game, mobile legends. He has a nice voice though.
@Gerald Osman a streamer of what?
@carrie healy a streamer.
Who&#39;s renejay??
baka renejay to! ❤
anong meron? hehe
@Peng nag cover ba sya nito?<br>di ko nakita.
Haha
Yuck
Puro mga atabs nagsi comment HAHAHAH
Tsk 😶
Jn
Hahahaha Sameeeee🙃
Ako din lodi
Eyy HAHAHA
Akala ko ako lng
Hold up
ako din HAHAHAHA
Apuch oo
7 years ago im here .
renejay amputa sino yon? walang ganon
HAAHAHAHHAHAHAHAAHHAHAHHAAHAHAAH
Ako ren AAHAHAHAH
Who&#39;s renejay
Bading
Me
Me
Zen Drill pag ba jowa mo ginanyan matutuwa ka walang galang
Zen Drill brad alam mo ang bastos mo
Yeah
Ako din po HAHHAAH
Pag kiligin si boss dogs parang kinurente hahahah
<a href=""http://www.youtube.com/results?search_query=%23samjay"">#samjay</a> harana hahahh
Me
Ako rin HAHA
Taena recommended din akin inang yan Samjay
me too hinanap ko to  ang kanta na to haha
Ako din
Power of boss dogs
Eyy
Meeeeeeee
Same 😅
Hahahahah
Same bro
Yeah
Ako hahaha
Same....hahahahaha....naol renejay...hahahah
HAHAHAHAHAHA grabe sumegway
meeee
Hahahav
Natatawa ako kay boss dogs
Me hahaha
Same here hahaha
Putangina mas kilig na kilig pa si boss dogs HAHAHAHA
Kahit ako eh
same hayop ahahha
Pati ako
Kinikilig parin ako kay Renejay tyaka kay Sam juskoo pre!!!!🖤
Ganda nga ni sam eh haha
Hahaha ako din
meee hahaha
Ako din AHAHHAHA
Dogs
Zen Drill ayun gago sumbong kita kay renejay
Puta dami natin ah HAHAHAHAHHAH
Hahaha same
Same HAHAHAHA
Same
ako HAHHAHAHA
Meee
HAHAHA
HAHAHAHA
HAHAHAHA AKO
Hahahaha
Haha
Same here😅 ang ganda kasi ng pagkakakanta ni renejay 😅
Renejay ❤️ Samantha
Mee hahaha
Lakas ni renejay
Me ahhahahahah
Luma na pala tong kanta na to ahaja..
Apuch nice hahaha same po
Yes sirrr
Hahah tangina
Salamat sa kanila, ganda nitong song
Hahahaha opkorssss
Meeee
Merr wahahaha
me ahhaha
Me too hahhahaha
UMAAYY LODS HAHAHA
lezzgow hahahah
Hahhaa ako din
AKO DIN HAHAHA GAGO
Me too!!! 😅🤣
Hahahaa awit
Yeahhh!
Taena HAHAHAH
Hahaha akala ko ako lang 😂
Omsim
Les gooo
Hahahahahahha
Sabi na ehh meron nito eh hahahah nice apir!
Hahahaha
HAHAHAHHAA HARANA
Oo nga e HAHAHAHA
Same hahaha
Putangina HAHAHAHAHAHAHAHA LEZGOOOOOOOOOO
Renejay: nagustuhan mo ba ako?<br><br>Samantha: Oo nagutuhan ko sobra.<br><br>Me: sobrang kinilig🥰
Sam × Renejay
Saaaame
Sa tingin ko sisikat na naman tong kantang to dahil kay Idol Renejay 🔥🔥
Me too. Haahaaha ganda pala ng song na to. Haaha
Me me too pa hug nmn dyan
Hahahaha
Me too
Hahaha  hi ulit mga peeeps
Kakakiligg
Hahahah
hahaha ako din
Haha ako nga dn brad e
HAHAHAHA SAMEEE
me too haha
👋
👌
Ey
Hahahaahahah
Hahaha putek
Hahaha
Kilig na kilig si boss dogs eh HAHAH
Hahaha ako din hqhhhq
hahahaha iba talaga pag si boss dogs"
IF YOU ARE HERE IN 2018. CHEERS EVERYONE!!!,"John The Great 2019
2019!!!
cheers 😊
@Nightcore King I&#39;m still here too 😂
12/22/18
Yo
Cheers
MY GOD CHEERS
Cmon, this is one of my favorite songs
Still here 😄
ahhahah I Still listening to this song
Cheers"
i came here bc Luke said he would dedicate this song to a girl in an interview,"Heather Fong same idk, what it is, and i would really like to know
does anyone have the link??
same
Same"
Anyone else think he looks like Louis Tomlinson when he had those glasses...?,"I thought I&#39;m seeing things 😂
x2"
"If he wears a wig, he will look like Taylor Swift. But he is hot. I have a huge crush on him ;)","Bruh😂😂
Mayisha Alamgir w
im so glad im not the only one who thinks this
yeah at <a href=""http://www.youtube.com/watch?v=otx0Bnru0dY&amp;t=1m10s"">1:10</a> he looks like taylor&#39;s twin brother"
he looks like a mix of nicholas hoult with louis tomlinson,
I will use this song to court my gurl,
"Youtube: ok, this single potato doesn&#39;t have anything to do again because it&#39;s sunday. Let&#39;s randomly recommend her this song from 10 years ago because she never knew it even existed. 😁💕",
Everyones here cause of someone called Renejay? I&#39;m just here cause I saved this in my favourites 9 years ago 😭😂😂😂,"@Ian tru hahahha
Same.. now I&#39;m wondering what ever happened to this guy.. only 1 other video uploaded by him
Howell Olmedo boklogs , nung nang harana kase si Renejay itong kanta yung ginamit nya tapos madaming nagandahan Kaya nga sinabi nung nasa taas na &quot;dahil lang kay Renejay Kaya Nila to nalaman&quot; parang ganon. Anong pinagsasasabi mong malayo?
Same , I was 7 years old when I first heard this in my Sister&#39;s playlist and I&#39;m Glad &#39;coz I found this again.
lmao same! I&#39;m finding some good shit in my favorites from like 2008 hahaha
so who&#39;s Renejay?
LMAO SAME!
Me too
IAN TV thank you ;)
@Amelia Dior renejay is so popular here in Philippines he&#39;s pro player in Mobile Legends! He&#39;s good in singing too
Can you tell me who is renejay?
baka renejay to! ❤
@carrie healy no clue 🤷🏻‍♀️
Who&#39;s renejay?
Alexa Hollis same
same
yesss
You&#39;re not alone dear
Awwwwww.
yepp i had this song but i deleted it and now here i am regretting it and downloading it again
same
ikr ?
Same!
same :))"
"in the thumbnail, joe looks like stephen hawkings if he was not paralyzed.","Yah Thats True.. At the first glance you will Notice it
Lol
I thought I was the one!! Lol"
He looks like louis tomlinson of one direction when he is wearing glasses,True
"Lets be honest, you searched for this.","Nope got recommended to me
Nop, i was looking for gold finger in acoustic
No I didn&#39;t
No 😅
Yes
Nope
No
No, just randomly popped up in my recommendations 10 years later lmao
nope
I was just from Sweet Serendipity
Popped up in a search, totally unrelated, nothing to do with my search, but got curious
yea"
2019! lets go!,
my song for my ex :3,"wkwkwk
..cool ? :p"
Alguém em 2017? Onde estão os br?,
2017 hands up!,"2018
<b>Hands Up</b>"
who&#39;s else listen this song in 2017 ? hahah,
